id,word,debate,count_bachelet,count_espinosa,count_grossi,count_grynspan,count_sall
364,law,unauk,2,0,0,0,0
365,eliminating,unauk,2,0,0,0,0
366,integrity,unauk,0,2,0,0,0
367,99,unauk,0,0,2,0,0
368,discussion,unauk,0,0,0,2,0
369,understood,unauk,0,2,0,0,0
370,amazon,unauk,0,2,0,0,0
371,single,unauk,0,2,0,0,0
372,box,unauk,0,2,0,0,0
373,deeply,unauk,2,0,0,0,0
374,captured,unauk,0,2,0,0,0
375,closely,unauk,0,0,2,0,0
376,sort,unauk,2,0,0,0,0
377,ongoing,unauk,0,0,2,0,0
378,matter,unauk,2,0,0,0,0
379,willing,unauk,0,0,0,2,0
380,insist,unauk,2,0,0,0,0
381,hobby,unauk,2,0,0,0,0
382,initiative,unauk,0,0,0,2,0
383,economic,unauk,0,0,2,0,0
384,york,unauk,0,2,0,0,0
385,mentioned,unauk,2,0,0,0,0
386,positions,unauk,2,0,0,0,0
387,voice,unauk,0,0,2,0,0
388,exams,unauk,0,0,0,2,0
389,assessed,unauk,0,0,0,2,0
390,parity,unauk,2,0,0,0,0
391,centre,unauk,0,2,0,0,0
392,platform,unauk,0,0,2,0,0
393,areas,unauk,2,0,0,0,0
394,liz,unauk,0,2,0,0,0
395,including,unauk,0,2,0,0,0
396,anxious,unauk,0,0,0,2,0
397,complicated,unauk,2,0,0,0,0
398,candidates,unauk,0,0,2,0,0
399,ecosoc,unauk,2,0,0,0,0
400,open,unauk,0,0,0,2,0
401,selecting,unauk,0,0,2,0,0
402,problems,unauk,2,0,0,0,0
403,effort,unauk,2,0,0,0,0
404,exist,unauk,2,0,0,0,0
405,house,unauk,0,2,0,0,0
406,key,unauk,2,0,0,0,0
407,needn,unauk,0,0,2,0,0
408,chile,unauk,2,0,0,0,0
409,drive,unauk,0,0,0,2,0
410,governments,unauk,0,2,0,0,0
411,taken,unauk,0,0,2,0,0
412,effective,unauk,2,0,0,0,0
413,serving,unauk,0,2,0,0,0
414,speak,unauk,0,2,0,0,0
415,example,unauk,2,0,0,0,0
416,transform,unauk,2,0,0,0,0
417,iaea,unauk,0,0,2,0,0
418,defense,unauk,2,0,0,0,0
419,deal,unauk,2,0,0,0,0
420,tools,unauk,2,0,0,0,0
421,responses,unauk,0,2,0,0,0
422,level,unauk,0,0,0,2,0
423,inside,unauk,0,0,0,2,0
424,declaration,unauk,0,2,0,0,0
425,sea,unauk,0,0,0,2,0
426,elders,unauk,0,2,0,0,0
427,poet,unauk,0,2,0,0,0
428,public,unauk,0,2,0,0,0
429,private,unauk,0,0,2,0,0
430,started,unauk,0,0,0,2,0
431,strong,unauk,0,2,0,0,0
432,restored,unauk,0,0,0,2,0
